,city,company,jobTitle,meanPay
319,New Delhi (India),Healthkart,Software Engineer,"xx,xxx/yr"
320,New Delhi (India),Xicom Technologies Ltd.,Software Engineer - Monthly,"37,410/mo"
321,New Delhi (India),Cyient,Software Engineer,"4,06,673/yr"
322,New Delhi (India),Gartner,Software Engineer,"13,42,513/yr"
323,New Delhi (India),HCL Infosystems,Software Engineer,"xx,xxx/yr"
324,New Delhi (India),Cognizant Technology Solutions,Software Engineer,"xx,xxx/yr"
325,New Delhi (India),AKS Software,Software Engineer,"xx,xxx/yr"
326,New Delhi (India),Lenskart Solutions,Software Engineer,"xx,xxx/yr"
327,New Delhi (India),SOTI,Software Engineer,"xx,xxx/yr"
328,New Delhi (India),WebKul,Software Engineer,"xx,xxx/yr"
329,New Delhi (India),Expedia Group,Software Engineer,"xx,xxx/yr"
330,New Delhi (India),Amdocs,Software Engineer - Monthly,"xx,xxx/mo"
331,New Delhi (India),Digital Green,Software Engineer,"xx,xxx/yr"
332,New Delhi (India),Mtree Software,Software Engineer,"xx,xxx/yr"
333,New Delhi (India),Reppify,Software Engineer,"xx,xxx/yr"
334,New Delhi (India),Tower Research Capital LLC,Software Engineer,"xx,xxx/yr"
335,New Delhi (India),itaas,Software Engineer,"xx,xxx/yr"
336,New Delhi (India),Samsung India Electronics,Software Engineer,"xx,xxx/yr"
337,New Delhi (India),Connexity,Software Engineer,"xx,xxx/yr"
338,New Delhi (India),SapientNitro,Software Engineer,"xx,xxx/yr"
339,New Delhi (India),Bravura Solutions,Software Engineer,"xx,xxx/yr"
340,New Delhi (India),Monster Com India,Software Engineer,"4,42,584/yr"
341,New Delhi (India),Super Highway Labs,Software Engineer,"14,43,100/yr"
342,New Delhi (India),SquareBoat,Software Engineer - Monthly,"37,790/mo"
343,New Delhi (India),Monotype,Software Engineer,"xx,xxx/yr"
344,New Delhi (India),WebKul,Software Engineer,"xx,xxx/yr"
345,New Delhi (India),RenewBuy,Software Engineer,"xx,xxx/yr"
346,New Delhi (India),IBM,Software Engineer - Monthly,"xx,xxx/mo"
347,New Delhi (India),Anonymous Content,Software Engineer - Monthly,"xx,xxx/mo"
348,New Delhi (India),Fonantrix,Software Engineer,"xx,xxx/yr"
349,New Delhi (India),Nucleus Software Exports,Software Engineer,"xx,xxx/yr"
350,New Delhi (India),Vinculum Solutions,Software Engineer - Monthly,"xx,xxx/mo"
351,New Delhi (India),JellyFish Technologies,Software Engineer,"xx,xxx/yr"
352,New Delhi (India),Inventum Technologies,Software Engineer,"xx,xxx/yr"
353,New Delhi (India),Enbake Consulting,Software Engineer - Monthly,"xx,xxx/mo"
354,New Delhi (India),Sun Life,Software Engineer,"xx,xxx/yr"
355,New Delhi (India),Ebix,Software Engineer - Monthly,"xx,xxx/mo"
356,New Delhi (India),99acre com,Software Engineer,"xx,xxx/yr"
357,New Delhi (India),NovoInvent,Software Engineer,"xx,xxx/yr"
358,New Delhi (India),Expedia Group,Software Engineer,"xx,xxx/yr"
359,New Delhi (India),Natrix Technology,Software Engineer - Monthly,"xx,xxx/mo"
360,New Delhi (India),Ameyo,Software Engineer - Monthly,"87,282/mo"
361,New Delhi (India),GreyOrange,Software Engineer,"11,54,764/yr"
362,New Delhi (India),Astrea IT Services,Software Engineer,"3,00,928/yr"
363,New Delhi (India),Nextag,Software Engineer,"xx,xxx/yr"
364,New Delhi (India),Fiserv,Software Engineer - Monthly,"xx,xxx/mo"
365,New Delhi (India),VVDN Technologies,Software Engineer - Monthly,"xx,xxx/mo"
366,New Delhi (India),STMicroelectronics,Software Engineer,"xx,xxx/yr"
367,New Delhi (India),NIIT,Software Engineer - Monthly,"xx,xxx/mo"
368,New Delhi (India),IBM India,Software Engineer,"xx,xxx/yr"
369,New Delhi (India),Roadzen,Software Engineer,"xx,xxx/yr"
370,New Delhi (India),Innotical Solutions,Software Engineer - Monthly,"xx,xxx/mo"
371,New Delhi (India),MagicPin,Software Engineer,"xx,xxx/yr"
