,city,company,jobTitle,meanPay
338,New Delhi (India),Gemini Solutions,Senior Software Engineer - Monthly,"xx,xxx/mo"
339,New Delhi (India),SOTI,Senior Software Engineer,"xx,xxx/yr"
340,New Delhi (India),SourceFuse,Senior Software Engineer - Monthly,"50,000/mo"
341,New Delhi (India),Intelegencia,Senior Software Engineer,"10,91,814/yr"
342,New Delhi (India),Saxo Bank,Senior Software Engineer,"27,48,249/yr"
343,New Delhi (India),Affle,Senior Software Engineer,"xx,xxx/yr"
344,New Delhi (India),S&P Global Market Intelligence,Senior Software Engineer,"xx,xxx/yr"
345,New Delhi (India),Iris Software,Senior Software Engineer,"xx,xxx/yr"
346,New Delhi (India),ibibo,Senior Software Engineer,"xx,xxx/yr"
347,New Delhi (India),Gemalto,Senior Software Engineer - Monthly,"xx,xxx/mo"
